chunk_id,question_original,question_evolved
03-Prospecto-Gadopril#0042,"¿Qué síntomas pueden incluir erupción, fotosensibilidad u otras manifestaciones cutáneas?",¿Qué síntomas incluyen erupción en pacientes con Astenia?
03-Prospecto-Gadopril#0043,¿Cuál es el tratamiento recomendado para la sobredosificación de maleato de enalapril?,¿Cuál es el tratamiento recomendado para la sobredosificación de maleato de enalapril?
03-Prospecto-Gadopril#0044,¿Cuál es el tratamiento indicado para bradicardia resistente al tratamiento?,¿Qué fármaco usan en el Hospital Alejandro Posadas para bradicardia?
03-Prospecto-Gadopril#0045,¿Qué es el certificado número de la especialidad medicinal autorizada?,¿Qué certifica la especialidad medicinal de ANMAT?
E.DP_.Caps_.Gador_.v01_web#0046,¿Cuál es la cantidad de Vitamina E en cada cápsula blanda del medicamento DEKAs® PLUS?,¿Cuánta Vitamina E tiene DEKAs® PLUS en cada cápsula blanda?
E.DP_.Caps_.Gador_.v01_web#0047,¿Cuál es la cantidad de Levadura de selenio en cada cápsula blanda?,¿Cuánta Levadura de selenio hay en cápsulas blanda?
EmoformTotalG00075702-09-web#0048,¿Qué es el etidronato disódico que se encuentra en Emo form Total?,¿Qué es el etidronato en Emo form Total?
EmoformTotalG00075702-09-web#0049,¿Cuál es la disposición ANMAT del producto de Higiene Oral de Uso Odontológico?,¿Qué dice ANMAT sobre Higiene Oral de Uso Odontológico?
FILTEN-D-G00081104-05#0050,¿Cuál es el código ATC de FILTEN D?,¿Cuál es el código ATC de FILTEN D?
FILTEN-D-G00081104-05#0051,¿Cuál es la vida media de eliminación del hidroclorotiazida?,¿Cuál es la vida media de eliminación de Hidroclorotiazida?
