chunk_id,question,answer
G00076604-04-elafax-web#0645,¿Cuál es el peso de la Venlafaxina en cada cápsula?,75 mg
G00076604-04-elafax-web#0660,¿Cuál es el mecanismo de acción de la venlafaxina?,"La potenciación de la actividad de neurotransmisores a nivel del sistema nervioso central, específicamente como inhibidor selectivo de la recaptación neuronal de serotonina y norepinefrina e inhibidor débil de la recaptación de dopamina."
G00076604-04-elafax-web#0675,¿Cuál es el efecto de la cimetidina en el clearance oral de venlafaxina?,Se observó una reducción del clearance oral de venlafaxina en un 43%.
G00076604-04-elafax-web#0690,¿Cuánto clorhidrato de venlafaxina contiene cada cápsula?,42.43 mg de clorhidrato de venlafaxina
G00076604-04-elafax-web#0705,¿Cuál es el peso de la Venlafaxina en cada cápsula de ELAFAX LP 75?,75 mg
G00076604-04-elafax-web#0720,¿Puedo tomar ELAFAX LP con otros medicamentos?,No se proporciona información sobre la compatibilidad de ELAFAX LP con otros medicamentos.
G00076702-09-elafax-web#0735,¿Cuál es la recomendación para reducir la dosis de venlafaxina en pacientes sometidos a hemodiálisis?,La dosis diaria total se reduzca en un 50% y que la misma no sea administrada hasta que se termine la sesión (4 horas).
G00076702-09-elafax-web#0750,¿Cuál es el efecto adverso más comúnmente observado en pacientes tratados con venlafaxina?,Astenia
G00076702-09-elafax-web#0765,¿Cuál es el síntoma más común que puede ocurrir cuando se deja de tomar ELAFAX® repentinamente?,somnolencia
G00076803-05-elafax-web#0780,¿Cuál es el riesgo potencial de usar Venlafaxina en pacientes con Trastorno Depresivo Mayor?,El beneficio clínico debe justificar el riesgo potencial al usar Venlafaxina en pacientes con Trastorno Depresivo Mayor.
G00076803-05-elafax-web#0795,¿Cuál es la frecuencia de náuseas como reacción adversa en pacientes que toman este medicamento?,30%
G00077101-11-INSOMNIUM#0810,¿Cuántas horas debe descansar después de tomar INSOMNIUM®?,7 - 8 horas
G00077101-11-INSOMNIUM#0825,¿Cuál es el efecto común de la administración prolongada de zopiclona?,La reaparición de los síntomas que provocaron la indicación del medicamento.
G00077101-11-INSOMNIUM#0840,¿Cuál es el medicamento que debe ser usado exclusivamente bajo prescripción y vigilancia médica?,INSOMNIUM®
G00077101-11-INSOMNIUM#0870,¿Cuál es el tratamiento recomendado para inducir el vómito en caso de sobredosis de zopiclona?,Inducir el vómito antes de una hora si el paciente conserva la consciencia o realizar un lavado gástrico con conservación de la vía aérea si está inconsciente.
G00077503-02-ProspectoWebMarvil70#0885,¿Cuál es la dosis recomendada de MARVIL® 70?,"1 comprimido, una vez a la semana"
G00078104-18-novacef-web#0900,¿Qué tipo de medicamento es NOVACEF?,Cefalexina
G00078104-18-novacef-web#0915,¿Cuál es el tratamiento recomendado para la sobredosificación de NOVACEF?,"El tratamiento recomendado incluye vómito provocado o lavado gástrico, carbón activado y purgante salino (45 a 60 min. luego del carbón activado), según la evaluación clínica del paciente."
G00078202-09-Lercadip_web#0930,¿Cuál es la cantidad de lactosa monohidrato en cada comprimido recubierto de LERCADIP?,"30,000 mg"
G00078202-09-Lercadip_web#0945,¿Cuánto talco contiene cada comprimido recubierto de LERCADIP?,0.150 mg
G00078202-09-Lercadip_web#0960,¿Cuál es el tratamiento recomendado para los casos de hipotensión clínicamente significativa en sobredosis de lercanidipina?,"Los casos de hipotensión clínicamente significativa requieren apoyo cardiovascular activo, como supervisión frecuente de la función respiratoria y cardiaca, elevación de las extremidades y atención al volumen de líquidos en circulación y volumen de orina."
G00078202-09-Lercadip_web#0975,¿Cuánto dióxido de titanio contiene cada comprimido recubierto de LERCADIP?,"1,200 mg"
G00078605-05-PAXON_web#0990,¿Cuál fue la reducción del riesgo de accidente cerebrovascular en pacientes tratados con losartán comparado con atenolol?,Un 25% en relación a atenolol.
G00078605-05-PAXON_web#1005,¿Quién debe evitar tomar PAXON® si está embarazada de más de 3 meses?,No debe tomar PAXON® si está embarazada de más de 3 meses.
G00078705-13-paxon-d-web#1020,¿Cuál es el contenido de los excipientes en cada comprimido recubierto de PAXON?,"Almidón de maíz: 12 mg, Dióxido de silicio coloidal: 1.2 mg, Coprocesado de celulosa-lactosa: 10.22 mg, Celulosa microcristalina: 64 mg, Croscarmelosa sódica: 6.4 mg, Estearato de magnésio vegetal: 3.2 mg, Óxido de hierro amarillo: 0.532 mg, Opadry II 85F28751 blanco: 2.873 mg, Opaglos GS 2-0700: 0.075 mg"
G00078705-13-paxon-d-web#1035,¿Cuál es el efecto de la hidroclorotiazida en el potasio sérico?,Desciende el potasio sérico.
G00078705-13-paxon-d-web#1050,¿Cuál es el riesgo de reducción del volumen plasmático y de hipoperfusión placentaria con hidroclorotiazida en mujeres embarazadas?,Reducción del volumen plasmático y de hipoperfusión placentaria
G00078705-13-paxon-d-web#1065,¿Cuál es el contenido del compuesto Opaglos GS 2-07002)?,"Alcohol polivinílico, Dióxido de titanio, Polietilenglicol y Talco"
G00078705-13-paxon-d-web#1080,¿Cuál es la dosis máxima diaria de PAXON®D?,"2 comprimidos recubiertos con película de 50 mg de losartán/12,5 mg de hidroclorotiazida o 1 comprimido recubierto con película de 100 mg de losartán/25 mg de hidroclorotiazida al día."
G00078803-02-prograf-web#1095,¿Cuál es la concentración sanguínea recomendada de tacrolimus para pacientes con trasplante hepático?,Las concentraciones sanguíneas valle de tacrolimus suelen oscilar entre 5 y 20 ng/mL en los pacientes con trasplante hepático.
G00078803-02-prograf-web#1110,¿Qué efecto puede tener el tacrolimus en la respuesta de las mujeres embarazadas a las vacunas?,La vacunación podría ser menos eficaz durante el tratamiento con tacrolimus.
G00078803-02-prograf-web#1125,¿Cuál es un efecto secundario grave poco frecuente de la medicación?,Microangiopatía trombótica
G00079203-10-damsel-web#1140,¿Cuál es la vida media de eliminación del etinilestradiol en dos fases?,1 hora y 10-20 horas
