chunk_id,question
G00075902-04-gadoprild-web#0555,¿Qué es GADOPRIL D indicado para tratar?
G00075902-04-gadoprild-web#0570,¿Cuál es la DL50 de enalapril en roedores?
G00076103-09_foxetin-web#0600,¿Cuál es el efecto de la fluoxetina en los cachorros nacidos muertos?
G00076301-16-Gammatet_T-web#0615,¿Cuál es la temperatura de conservación del medicamento GAMMATET-T?
G00076604-04-elafax-web#0630,"¿Cuál es el peso de Venlafaxina en ELAFAX LP 37,5?"
G00076604-04-elafax-web#0645,¿Cuál es el peso de la Venlafaxina en cápsulas?
G00076604-04-elafax-web#0660,¿Cómo actúa la venlafaxina en el cuerpo?
G00076604-04-elafax-web#0675,¿Cuál efecto tiene la cimetidina en venlafaxina?
G00076604-04-elafax-web#0690,¿Cada cápsula tiene cuántos mg de clorhidrato de venlafaxina?
G00076604-04-elafax-web#0705,¿Cuál es el peso de Venlafaxina en ELAFAX LP 75?
G00076604-04-elafax-web#0720,Puede tomar Elafax LP con otros fármacos?
G00076702-09-elafax-web#0735,¿Qué pasa con la dosis de Venlafaxina en hemodiálisis?
G00076702-09-elafax-web#0750,¿Cuál es el efecto adverso más comúnmente observado en pacientes tratados con venlafaxina?
G00076702-09-elafax-web#0765,¿Cuál es el síntoma más común que puede ocurrir cuando se deja de tomar ELAFAX® repentinamente?
G00076803-05-elafax-web#0780,¿Qué efectos tiene la Venlafaxina en depresión grave?
G00077101-11-INSOMNIUM#0810,¿Cuántas horas debe descansar después de tomar INSOMNIUM®?
G00077101-11-INSOMNIUM#0825,¿Cuál es el efecto común de la administración prolongada de zopiclona?
G00077101-11-INSOMNIUM#0840,¿Cuál es el medicamento que debe ser usado exclusivamente bajo prescripción y vigilancia médica?
G00077101-11-INSOMNIUM#0870,¿Qué se hace ante sobredosis de zopiclona?
G00077503-02-ProspectoWebMarvil70#0885,¿Cuál es la dosis recomendada de MARVIL?
G00078104-18-novacef-web#0900,¿Qué tipo de Comprimidos NOVACEF vende la Industria Argentina?
G00078202-09-Lercadip_web#0930,¿Qué cantidad de lactosa hay en un comprimido de LERCADIP?
G00078202-09-Lercadip_web#0945,¿Qué excipiente tiene LERCADIP en cada comprimido?
G00078202-09-Lercadip_web#0960,¿Qué tratamiento se recomienda en hipotensión por sobredosis de lercanidipina?
G00078202-09-Lercadip_web#0975,¿Qué cantidad de dióxido de titanio tiene cada LERCADIP?
G00078605-05-PAXON_web#0990,¿Cuál fue la reducción con losartán comparado a atenolol?
G00078605-05-PAXON_web#1005,¿Debe evitar PAXON® si más de 3 meses embarazada?
G00078705-13-paxon-d-web#1020,¿Qué compuestos incluye PAXON en cada comprimido?
G00078705-13-paxon-d-web#1035,¿Qué ocurre con el potasio en pacientes de Dada?
G00078705-13-paxon-d-web#1050,¿Qué efectos tiene la hidroclorotiazida en embarazadas?
G00078705-13-paxon-d-web#1065,"Opaglos GS 2-07002, ¿qué hay en él?"
G00078705-13-paxon-d-web#1080,¿Cuál es la dosis máxima diaria de PAXON en Administración?
G00078803-02-prograf-web#1095,¿Qué concentración de tacrolimus se recomienda en trasplantes hepáticos?
G00078803-02-prograf-web#1125,¿Cuál es un efecto secundario grave poco frecuente de la medicación?
G00079203-10-damsel-web#1140,¿Durante cuánto tiempo se elimina el etinilestradiol?
