chunk_id,question_original,question_evolved
G00146807-04-DIOCAM_web#3040,¿Cuál es el medicamento que debe utilizarse con precaución en pacientes con porfiria?,¿Qué consideraciones hay con Clonazepam y porfiria?
G00152103-05-Stribild_web#3120,¿Cuál sustitución en la TR del VIH-1 reduce la susceptibilidad al tenofovir DF?,¿Cuál sustitución en la TR del VIH-1 reduce la susceptibilidad al tenofovir DF?
G00157803-05-dimeful-web#3200,¿Cuál fue el porcentaje de pacientes que notificaron dismenorrea con Dimetilfumarato?,¿Qué efecto tuvo el Dimetilfumarato en pacientes?
G00159600-03-PYXIS#3280,¿Cuál es la cantidad de perampanel en cada comprimido recubierto de PYXIS 12?,¿Cuánto perampanel hay en cada PYXIS 12?
G00159600-03-PYXIS#3360,¿Cuál es la cantidad de perampanel en cada comprimido recubierto de PYXIS 2?,¿Qué cantidad de perampanel contiene PYXIS 2?
G00159600-03-PYXIS#3440,¿Qué precaución debe tomar al consumir alcohol con PYXIS?,¿Qué precaución debe tomar al consumir alcohol con PYXIS?
G00159600-03-PYXIS#3520,¿Se recomienda ajustar la dosis de perampanel en pacientes con insuficiencia renal moderada?,¿Se ajusta perampanel en insuficiencia renal moderada?
G00163404-02-Reliveran-web-1#3600,¿Cuánto metoclopramida clorhidrato anhidro contiene cada 100 ml de Reliverán® Solución (Gotas 5 ‰ Adultos)?,¿Cuánto metoclopramida anhidro en cada 100 ml de Reliverán?
G00166101-00-Tonibral-XR#3680,¿Cuál es la acción que debe tomar el paciente si ha cambiado su dieta de manera sustancial y toma TONIBRAL XR?,¿Cuál es la acción que debe tomar el paciente si ha cambiado su dieta de manera sustancial y toma TONIBRAL XR?
G00166101-00-Tonibral-XR#3760,¿Cuál es la dosis de memantina que no produjo efectos adversos en ratas embarazadas?,¿Cuál es la dosis de memantina que no produjo efectos adversos en ratas embarazadas?
G00170003-03-complera-web#3840,¿Cuál es la edad mínima para que un paciente reciba el medicamento COMPLERA?,¿Qué mínimo de años requiere Complera en pacientes?
G00171106_03-web-luradon#3920,¿Cuál es la cantidad de Lurasidona clorhidrata en cada comprimido recubierto de LURADON?,¿Cuánta Lurasidona hay por comprimido en Luradon?
G00171106_03-web-luradon#4000,¿Cuál es la frecuencia de distonía en pacientes pediátricos con depresión bipolar tratados con lurasidona?,¿Cuál es la frecuencia de distonía en pacientes pediátricos con depresión bipolar tratados con lurasidona?
G00178002-03-POMALID_web#4080,¿Cuál es la frecuencia de disminución del apetito como reacción adversa en pacientes que toman este medicamento?,¿Qué frecuencia tienen reacciones adversas como disminución del apetito?
G00179604-04-harvoni-web#4160,¿Cuántas veces superior fue la exposición de ledipasvir en ratas hembra comparada con la exposición humana?,¿Cuánto mayor es el ledipasvir en ratas hembra?
G00185703-01-web-genvoya#4240,¿Cuántos adultos participaron en el estudio con TAF?,¿Cuántos adultos participaron en el estudio con TAF?
G00186800-00-ProspectoWebOmnipil#4320,¿Qué pacientes deben iniciar el tratamiento con OMNIPIL® con precaución?,Pacientes qué deben iniciar OMNIPIL con precaución?
G00189102-02-sinlip-prevent-web#4400,¿Cuál es el medicamento que puede ocasionar problemas musculares graves (rabdomiólisis) cuando se combina con Rosuvastatina?,Rosuvastatina puede causar rabdomiólisis con qué medicamento?
G00198902-02-duxetin-web#4560,¿Cuál es la dosis máxima estudiada de DUXETIN para pacientes adultos?,¿Qué dosis máxima de DUXETIN se ha investigado en adultos?
G00202202-02-descovy-web-1#4640,¿Cuál fue la tasa de éxito virológico en la semana 48 para los pacientes que cambiaron a DESCOVY?,¿Cuál fue la tasa de éxito virológico en la semana 48 para los pacientes que cambiaron a DESCOVY?
G00207700-00-Divalprex_ER-web#4720,¿Cuál es la cantidad de hidroxipropilmetilcelulosa en cada comprimido de liberación extendida de DIVALPREX® ER 250?,¿Qué cantidad de hidroxipropilmetilcelulosa hay en Divalprex ER?
G00208702-03-arkus-web#4800,¿Cuál es la cantidad de dióxido de titanio en cada comprimido recubierto?,¿Cuánto dióxido de titanio en cada comprimido recubierto de Cada?
G00208702-03-arkus-web#4880,¿Quién no debe tomar ARKUS®?,¿A quiénes no se les prescribe ARKUS?
G00211003-04-BIKTARVY-web#4960,¿Cuál fue el porcentaje de pacientes con ARN del VIH-1 ≥ 50 copias/ml en la semana 48 en el grupo que recibió B/F/TAF?,¿Cuál fue el porcentaje de pacientes con ARN del VIH-1 ≥ 50 copias/ml en la semana 48 en el grupo que recibió B/F/TAF?
G00213501-01-web#5040,¿Qué dos medicamentos se combinan en TEZACAR?,¿Qué dos medicamentos se combinan en TEZACAR?
G00213501-01-web#5120,¿Cuál es la cantidad de Ivacaftor en cada comprimido recubierto amarillo?,¿Qué dosis de Ivacaftor hay en comprimidos amarillos?
G00218302-03-carfizol-web#5200,¿Cuántas horas antes del daratumumab se administra dexametasona?,¿Cómo se relaciona dexametasona con el daratumumab?
G00222100-00-midax-web#5280,¿Cuál es la cantidad de Olanzapina en cada comprimido recubierto de MIDAX?,¿Cuánta olanzapina tiene un comprimido de Midax?
G00224203-05-trixacar-web#5360,¿Cuántas horas debe haber transcurrido desde la dosis omitida de la mañana para tomarla tan pronto como sea posible?,¿Cuántas horas para tomar Alternar luego de dosis omitida?
G00226200-00-Ambisome-SD-Prospecto-web#5440,¿Cuál es la dosis máxima de AMBISOME® recomendada por kg de peso corporal?,¿Qué dosis de AMBISOME® se usan por kg en leishmaniasis?
G00229001-01-fucsia-web#5520,¿Cuál es el peso de la Drospirenona en cada comprimido recubierto fucsia?,¿Cuál es el peso de la Drospirenona en cada comprimido?
G00230200-00-revixil-web#5600,¿Cuánto cloruro de sodio contiene cada mililitro de REVIXIL?,¿Cuánto cloruro de sodio en REVIXIL cada mililitro?
G00235500-00-benlipid-web#5680,¿Cuál es la vida media del ácido bempedoico en humanos?,¿Cuál es la vida media del ácido bempedoico en humanos?
G00241300-00-destelle-web#5760,¿Cuál es el contenido de la cera carnauba en cada comprimido recubierto blanco de DESTELLE?,¿Qué es la cera carnauba en DESTELLE?
G00241901-01-ligonux-web#5840,¿Cuál es el efecto secundario muy frecuente del medicamento LIGONUX® que puede afectar a más de 1 de cada 10 personas?,¿Cuál es el efecto secundario muy frecuente del medicamento LIGONUX® que puede afectar a más de 1 de cada 10 personas?
Hipolipol_Ez_5_10_mg__D6769-E-6430-01-Inst.-Hipolipol-EZ-5-10-600x200-mm-Uhlmann-web#5920,¿Cuál es el mecanismo de acción del Ezetimibe?,Ezetimibe qué efectos tiene en el organismo?
Imecot_AP_500__Instruccion-Imecot-AP-500-web#6000,¿Cuál es el efecto de la furosemida en los niveles de metformina?,¿Cuál es el efecto de la furosemida en los niveles de metformina?
Iset_Respiratorio__D3391-E-3066-01-Instruccion-Iset-Respiratorio-180x390-mm-1-comprimido#6080,¿Cuál es la temperatura óptima para conservar ISET RESPIRATORIO?,¿Qué temp. óptima para Iset Respiratorio según certificado?
Lemidal__Instruccion-Lemidal-editable#6160,¿Cuál es el tratamiento específico para una sobredosificación de aripiprazol?,¿Cuál es el tratamiento específico para una sobredosificación de aripiprazol?
Loplac_XR__Para-web-D2586-Instruccion-Loplac-XR-200-x-300-mm#6240,¿Cuál es la dosis habitual de LOPLAC XR para pacientes con presión arterial alta?,¿Cuál es la dosis habitual de LOPLAC XR en PAH?
Mesdam_T__D7988-E-7648-01-INST-MESDAM-T-COMPLETA-BOYACA-728x270-web_compressed#6320,¿Cuál es el porcentaje de pacientes tratados con 10 mg de macitentan que experimentaron una disminución en la concentración de hemoglobina por debajo de 10 g/dL?,¿Cuál porcentaje de macitentan 10 mg disminuyó hemoglobina?
Naltreva#6400,¿Qué efecto tiene la naltrexona en las tasas de embarazo en ratas?,¿Cómo afecta naltrexona a los embarazos de ratas?
Neuristan__D2130-E-1851-02-Instrucci_n-Neuristan-Unificada#6480,¿Cuál es el mecanismo de acción de la pregabalina?,¿Cuál es el mecanismo de acción de la pregabalina?
Otevil__WEB-D2982-E-2655-01-Instruccion-Otevil#6560,¿Qué síntomas pueden presentarse en caso de sobredosificación del medicamento betahistina?,¿Qué efectos ocurren con Betahistina en exceso?
PALIAX-G00192200-00#6640,¿Cuál es la frecuencia de mareo o fatiga como efecto secundario del valsartán?,¿Cuál es la frecuencia de mareo con valsartán?
Perdural_5__D2775-E-2453-01-Instruccion-Perdural-5_compressed#6720,¿Cuántas horas después de tomar PERDURAL se puede tener relaciones sexuales?,¿Cuándo se puede tener relaciones sexuales después de tomar PERDURAL?
Prospecto-Lucaftor100-125-2024#6800,¿Cuál es la dosis recomendada de LUCAFTOR® para pacientes de 6 a 11 años durante la primera semana de tratamiento?,¿Cuál es la dosis recomendada de LUCAFTOR® para pacientes de 6 a 11 años durante la primera semana de tratamiento?
