chunk_id,question,answer,n_sentences,sentences,sentences_join
03-Prospecto-Gadopril#0011,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL?,Cada comprimido ranurado de GADOPRIL contiene: Enalapril maleato 20.00 mg,0,[],
03-Prospecto-Gadopril#0012,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL?,20.00 mg,2,"['Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg', 'Cada comprimido ranurado de GADOPRIL® 20 contiene: Enalapril maleato ....................................................................................20,00 mg']","Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg || Cada comprimido ranurado de GADOPRIL® 20 contiene: Enalapril maleato ....................................................................................20,00 mg"
03-Prospecto-Gadopril#0013,¿Cuál es el código ATC de los inhibidores de la enzima de conversión de angiotensina?,C09A A02,2,"['Código ATC: C09A A02', 'Grupo farmacoterapéutico: Inhibidores de la enzima de conversión de angiotensina. Antihipertensivo. Vasodilatador']",Código ATC: C09A A02 || Grupo farmacoterapéutico: Inhibidores de la enzima de conversión de angiotensina. Antihipertensivo. Vasodilatador
03-Prospecto-Gadopril#0014,¿Qué efecto tiene Gadopril en la secreción de aldosterona?,Una disminución de la secreción de aldosterona.,2,"['La inhibición de la ECA produce un descenso de la angiotensina II en plasma que provoca un aumento de la actividad de renina plasmática (debido a la supresión de la retroalimentación negativa sobre la liberación de renina) y una disminución de la secreción de aldosterona.', 'Sin embargo, aún no se ha determinado la importancia de éste en los efectos terapéuticos de Gadopril®.']","La inhibición de la ECA produce un descenso de la angiotensina II en plasma que provoca un aumento de la actividad de renina plasmática (debido a la supresión de la retroalimentación negativa sobre la liberación de renina) y una disminución de la secreción de aldosterona. || Sin embargo, aún no se ha determinado la importancia de éste en los efectos terapéuticos de Gadopril®."
03-Prospecto-Gadopril#0015,¿Cuántas horas tarda en alcanzar concentraciones máximas el enalaprilato después de una dosis oral de enalapril?,4 horas,1,"['Tras la absorción, el enalapril oral se hidroliza rápida y extensamente en enalaprilato, un potente inhibidor de la enzima de conversión de angiotensina. El enalaprilato alcanza concentraciones máximas en el suero 4 horas después de una dosis oral de enalapril.']","Tras la absorción, el enalapril oral se hidroliza rápida y extensamente en enalaprilato, un potente inhibidor de la enzima de conversión de angiotensina. El enalaprilato alcanza concentraciones máximas en el suero 4 horas después de una dosis oral de enalapril."
03-Prospecto-Gadopril#0016,¿Cuál es la porción de enalaprilato unida a proteínas plasmáticas humanas?,No supera el 60 %,1,['La unión de enalaprilato a proteínas plasmáticas humanas no supera el 60 % en el intervalo de concentraciones que son terapéuticamente apropiadas.'],La unión de enalaprilato a proteínas plasmáticas humanas no supera el 60 % en el intervalo de concentraciones que son terapéuticamente apropiadas.
03-Prospecto-Gadopril#0017,¿Cuál es el aumento aproximado en la exposición de enalapril y enalaprilato en pacientes con insuficiencia renal grave?,El ABC de enalaprilato aumentó aproximadamente 8 veces.,2,"['En pacientes con insuficiencia renal leve a moderada (aclaramiento de creatinina 40-60 ml/min), el ABC de enalaprilato en el estado de equilibrio fue aproximadamente dos veces mayor que en sujetos normales.', 'En pacientes con insuficiencia renal grave, la exposición a enalapril y su metabolito activo, enalaprilato, aumentó en un 50% o más.']","En pacientes con insuficiencia renal leve a moderada (aclaramiento de creatinina 40-60 ml/min), el ABC de enalaprilato en el estado de equilibrio fue aproximadamente dos veces mayor que en sujetos normales. || En pacientes con insuficiencia renal grave, la exposición a enalapril y su metabolito activo, enalaprilato, aumentó en un 50% o más."
03-Prospecto-Gadopril#0018,¿Cuál es la concentración máxima media de enalaprilato en leche materna después de una dosis única de 20 mg?,1.7 μg/l,2,"['La concentración máxima media de enalapril en la leche fue de 1,7 μg/l (intervalo de 0,54 a 5,9 μg/l) a las 4-6 horas después de la dosis.', 'La concentración máxima media de enalaprilato fue de 1,7 μg/l (intervalo de 1,2 a 2,3 μg/l); los picos se produjeron a diversas horas en el periodo de 24 horas.']","La concentración máxima media de enalapril en la leche fue de 1,7 μg/l (intervalo de 0,54 a 5,9 μg/l) a las 4-6 horas después de la dosis. || La concentración máxima media de enalaprilato fue de 1,7 μg/l (intervalo de 1,2 a 2,3 μg/l); los picos se produjeron a diversas horas en el periodo de 24 horas."
03-Prospecto-Gadopril#0019,¿Cuántas horas después de la administración de una dosis individual de enalapril ocurre la actividad antihipertensiva?,Una hora después de la administración,2,"['La inhibición efectiva de la actividad de la ECA suele ocurrir 2 a 4 horas después de la administración de una dosis individual de enalapril por vía oral.', 'Generalmente, la actividad antihipertensiva se inició al cabo de una hora, y la disminución máxima de la presión arterial.']","La inhibición efectiva de la actividad de la ECA suele ocurrir 2 a 4 horas después de la administración de una dosis individual de enalapril por vía oral. || Generalmente, la actividad antihipertensiva se inició al cabo de una hora, y la disminución máxima de la presión arterial."
03-Prospecto-Gadopril#0020,¿Cuál estudio fue finalizado prematuramente debido a un aumento en el riesgo de resultados adversos?,ALTITUDE,3,"['ALTITUDE (Aliskiren Trial in Type 2 Diabetes Using Cardiovascular and Renal Disease Endpoints) fue un estudio diseñado para evaluar el beneficio de añadir aliskirén a una terapia estándar con un inhibidor de la enzima convertidora de angiotensina o un antagonista de los receptores de angiotensina II en pacientes con diabetes mellitus tipo 2 y enfermedad renal crónica, enfermedad cardiovascular, o ambas.', 'El estudio se dio por finalizado prematuramente a raíz de un aumento en el riesgo de resultados adversos.', 'La muerte por causas cardiovasculares y los ictus fueron ambos numéricamente más frecuentes en el grupo de aliskirén que en el grupo de placebo, y se notificaron acontecimientos adversos y acontecimientos adversos graves de interés (hiperpotasemia, hipotensión y disfunción renal) con más frecuencia en el grupo de aliskirén que en el de placebo.']","ALTITUDE (Aliskiren Trial in Type 2 Diabetes Using Cardiovascular and Renal Disease Endpoints) fue un estudio diseñado para evaluar el beneficio de añadir aliskirén a una terapia estándar con un inhibidor de la enzima convertidora de angiotensina o un antagonista de los receptores de angiotensina II en pacientes con diabetes mellitus tipo 2 y enfermedad renal crónica, enfermedad cardiovascular, o ambas. || El estudio se dio por finalizado prematuramente a raíz de un aumento en el riesgo de resultados adversos. || La muerte por causas cardiovasculares y los ictus fueron ambos numéricamente más frecuentes en el grupo de aliskirén que en el grupo de placebo, y se notificaron acontecimientos adversos y acontecimientos adversos graves de interés (hiperpotasemia, hipotensión y disfunción renal) con más frecuencia en el grupo de aliskirén que en el de placebo."
03-Prospecto-Gadopril#0021,¿Cuál fue el resultado de la adición de aliskirén en pacientes con diabetes mellitus tipo 2?,El estudio se dio por finalizado prematuramente a raíz de un aumento en el riesgo de resultados adversos. La muerte por causas cardiovasculares y los ictus fueron ambos numéricamente más frecuentes en el grupo de aliskirén que en el grupo de placebo.,2,"['El estudio se dio por finalizado prematuramente a raíz de un aumento en el riesgo de resultados adversos.', 'La muerte por causas cardiovasculares y los ictus fueron ambos numéricamente más frecuentes en el grupo de aliskirén que en el grupo de placebo, y se notificaron acontecimientos adversos y acontecimientos adversos graves de interés (hiperpotasemia, hipotensión y disfunción renal) con más frecuencia en el grupo de aliskirén que en el de placebo.']","El estudio se dio por finalizado prematuramente a raíz de un aumento en el riesgo de resultados adversos. || La muerte por causas cardiovasculares y los ictus fueron ambos numéricamente más frecuentes en el grupo de aliskirén que en el grupo de placebo, y se notificaron acontecimientos adversos y acontecimientos adversos graves de interés (hiperpotasemia, hipotensión y disfunción renal) con más frecuencia en el grupo de aliskirén que en el de placebo."
03-Prospecto-Gadopril#0022,¿Cuál fue la reducción del riesgo de muerte en pacientes con insuficiencia cardiaca congestiva tratados con enalapril?,16%,2,"['Hubo 510 muertes en el grupo placebo (39,7 %), frente a 452 en el grupo de enalapril (35,2 %) (reducción del riesgo del 16 %; IC del 95 %, 5-26 %; p = 0,0036).', 'Hubo 461 muertes por causas cardiovasculares en el grupo placebo, frente a 399 en el grupo enalapril (reducción del riesgo del 18 %, IC del 95 %, 6-28 %, p < 0,002), debido principalmente a la reducción de las muertes por insuficiencia cardiaca progresiva (251 en el grupo placebo, frente a 209 en el grupo de enalapril, reducción del riesgo del 22 %, IC del 95 %, 6-35 %).']","Hubo 510 muertes en el grupo placebo (39,7 %), frente a 452 en el grupo de enalapril (35,2 %) (reducción del riesgo del 16 %; IC del 95 %, 5-26 %; p = 0,0036). || Hubo 461 muertes por causas cardiovasculares en el grupo placebo, frente a 399 en el grupo enalapril (reducción del riesgo del 18 %, IC del 95 %, 6-28 %, p < 0,002), debido principalmente a la reducción de las muertes por insuficiencia cardiaca progresiva (251 en el grupo placebo, frente a 209 en el grupo de enalapril, reducción del riesgo del 22 %, IC del 95 %, 6-35 %)."
03-Prospecto-Gadopril#0023,¿Cuál fue la reducción en el riesgo de infarto de miocardio con Gadopril?,23%,1,"['En todo el estudio SOLVD, en pacientes con disfunción ventricular izquierda, Gadopril® redujo el riesgo de infarto de miocardio en un 23 % (IC del 95 %, 1134 %; p < 0,001) y redujo el riesgo de hospitalización por angina de pecho inestable en un 20 % (IC del 95 %, 9-29 %; p < 0,001).']","En todo el estudio SOLVD, en pacientes con disfunción ventricular izquierda, Gadopril® redujo el riesgo de infarto de miocardio en un 23 % (IC del 95 %, 1134 %; p < 0,001) y redujo el riesgo de hospitalización por angina de pecho inestable en un 20 % (IC del 95 %, 9-29 %; p < 0,001)."
03-Prospecto-Gadopril#0024,¿Cuál es la dosis máxima diaria recomendada de Gadopril® para pacientes adultos?,40 mg/día,2,"['La dosis máxima estudiada fue de 0,58 mg/kg (hasta 40 mg) una vez al día.', 'La dosis máxima es de 40 mg al día administrada en dos tomas.']","La dosis máxima estudiada fue de 0,58 mg/kg (hasta 40 mg) una vez al día. || La dosis máxima es de 40 mg al día administrada en dos tomas."
03-Prospecto-Gadopril#0025,¿Cuántas semanas tarda en ajustarse la dosis de Gadopril?,2 a 4 semanas,5,"['Este ajuste de la dosis puede realizarse a lo largo de un periodo de 2 a 4 semanas.', 'Tabla 1: Sugerencias para el ajuste de la dosis de Gadopril® en pacientes con insuficiencia cardiaca/disfunción ventricular izquierda asintomática', 'Semana 1 Días 4 a 7: 5 mg/día en dos tomas', 'Semana 2 10 mg/día en dosis única o en dos tomas', 'Semanas 3 y 4 20 mg/día en dosis única o en dos tomas']",Este ajuste de la dosis puede realizarse a lo largo de un periodo de 2 a 4 semanas. || Tabla 1: Sugerencias para el ajuste de la dosis de Gadopril® en pacientes con insuficiencia cardiaca/disfunción ventricular izquierda asintomática || Semana 1 Días 4 a 7: 5 mg/día en dos tomas || Semana 2 10 mg/día en dosis única o en dos tomas || Semanas 3 y 4 20 mg/día en dosis única o en dos tomas
03-Prospecto-Gadopril#0026,¿Cuál es la dosis máxima recomendada de Gadopril durante las semanas 3 y 4?,20 mg/día,3,"['La dosis máxima estudiada fue de 0,58 mg/kg (hasta 40 mg) una vez al día.', 'Sugerencias para el ajuste de la dosis de Gadopril® en pacientes con insuficiencia cardiaca/disfunción ventricular izquierda asintomática', 'Semana 3 y 4: 20 mg/día en dosis única o en dos tomas']","La dosis máxima estudiada fue de 0,58 mg/kg (hasta 40 mg) una vez al día. || Sugerencias para el ajuste de la dosis de Gadopril® en pacientes con insuficiencia cardiaca/disfunción ventricular izquierda asintomática || Semana 3 y 4: 20 mg/día en dosis única o en dos tomas"
03-Prospecto-Gadopril#0028,¿Cuál es la dosis máxima diaria recomendada de Gadopril para pacientes pediátricos ≥ 50 kg?,40 mg,2,"['La dosis máxima es de 40 mg al día administrada en dos tomas.', 'Se debe ajustar la dosificación a la respuesta de la presión arterial del paciente. Uso Pediátrico Para los pacientes que pueden tragar los comprimidos, la dosis debe ser individualizada según el perfil del paciente y la respuesta de la presión arterial. La dosis inicial recomendada es de 2,5 mg en pacientes de 20 a < 50 kg y de 5 mg en pacientes ≥ 50 kg. Gadopril® se administra una vez al día. Se debe ajustar la dosis según las necesidades del paciente hasta un máximo de 20 mg al día en pacientes de 20 a < 50 kg y 40 mg en pacientes de ≥ 50 kg.']","La dosis máxima es de 40 mg al día administrada en dos tomas. || Se debe ajustar la dosificación a la respuesta de la presión arterial del paciente. Uso Pediátrico Para los pacientes que pueden tragar los comprimidos, la dosis debe ser individualizada según el perfil del paciente y la respuesta de la presión arterial. La dosis inicial recomendada es de 2,5 mg en pacientes de 20 a < 50 kg y de 5 mg en pacientes ≥ 50 kg. Gadopril® se administra una vez al día. Se debe ajustar la dosis según las necesidades del paciente hasta un máximo de 20 mg al día en pacientes de 20 a < 50 kg y 40 mg en pacientes de ≥ 50 kg."
03-Prospecto-Gadopril#0029,¿Qué pacientes deben evitar el uso concomitante de Gadopril®?,"Pacientes con antecedentes de angioedema en relación a tratamientos con inhibidores de la ECA, pacientes con angioedema ideopático o hereditario, segundo y tercer trimestres del embarazo.",7,"['El uso concomitante de IECA con sacubitril/valsartán está contraindicado debido al riesgo elevado de sufrir angioedema.', 'El tratamiento con Gadopril® no se debe iniciar antes de 36 horas tras la última dosis de sacubitril/valsartán.', 'El uso concomitante de IECA con racecadotril, inhibidores de mTOR (por ejemplo, sirolimus, everolimus, temsirolimus) y vildagliptina puede aumentar el riesgo de angioedema (por ejemplo, hinchazón de las vías respiratorias o la lengua, con o sin insuficiencia respiratoria)', 'Se debe tener precaución al iniciar el tratamiento con racecadotril, inhibidores de mTOR (por ejemplo, sirolimus, everolimus, temsirolimus) y vildagliptina en un paciente que ya esté tomando un IECA.', 'Pacientes hipertensos con insuficiencia renal. Por lo general, requieren prolongar los intervalos entre dosis o reducir las mismas (Ver tabla 2).', 'El tratamiento con Gadopril® no se debe iniciar antes de 36 horas tras la última dosis de sacubitril/valsartán.', 'Pacientes con antecedentes de angioedema no relacionado con un tratamiento de inhibidores de la ECA pueden tener un mayor riesgo de angioedema al ser tratados con un inhibidor de la ECA.']","El uso concomitante de IECA con sacubitril/valsartán está contraindicado debido al riesgo elevado de sufrir angioedema. || El tratamiento con Gadopril® no se debe iniciar antes de 36 horas tras la última dosis de sacubitril/valsartán. || El uso concomitante de IECA con racecadotril, inhibidores de mTOR (por ejemplo, sirolimus, everolimus, temsirolimus) y vildagliptina puede aumentar el riesgo de angioedema (por ejemplo, hinchazón de las vías respiratorias o la lengua, con o sin insuficiencia respiratoria) || Se debe tener precaución al iniciar el tratamiento con racecadotril, inhibidores de mTOR (por ejemplo, sirolimus, everolimus, temsirolimus) y vildagliptina en un paciente que ya esté tomando un IECA. || Pacientes hipertensos con insuficiencia renal. Por lo general, requieren prolongar los intervalos entre dosis o reducir las mismas (Ver tabla 2). || El tratamiento con Gadopril® no se debe iniciar antes de 36 horas tras la última dosis de sacubitril/valsartán. || Pacientes con antecedentes de angioedema no relacionado con un tratamiento de inhibidores de la ECA pueden tener un mayor riesgo de angioedema al ser tratados con un inhibidor de la ECA."
03-Prospecto-Gadopril#0030,¿Cuál es el efecto que Gadopril puede ocasionar en pacientes con insuficiencia cardiaca y presión arterial normal o baja?,Un descenso adicional de la presión arterial sistémica.,2,"['Gadopril® puede ocasionalmente causar un descenso adicional de la presión arterial sistémica en algunos pacientes con insuficiencia cardiaca y presión arterial normal o baja.', 'Si aparecen síntomas de hipotensión, puede ser necesario disminuir la dosificación y/o suspender la administración del diurético y/o de Gadopril®.']","Gadopril® puede ocasionalmente causar un descenso adicional de la presión arterial sistémica en algunos pacientes con insuficiencia cardiaca y presión arterial normal o baja. || Si aparecen síntomas de hipotensión, puede ser necesario disminuir la dosificación y/o suspender la administración del diurético y/o de Gadopril®."
