chunk_id,question,answer,n_sentences,sentences,sentences_join
G00072601-09-AMBISOME-Prospecto-web#0150,¿Cuál es la frecuencia de hipopotasemia en pacientes que reciben AMBISOME?,Frecuente (> 10 %),4,"['Frecuente: hipopotasemia', 'Las reacciones adversas se presentan en orden decreciente de gravedad. Las frecuencias se definen como: Frecuente (> 10 %) Ocasional (1% al 10%) Rara (< 1%) Desconocida (no puede calcularse con los datos disponibles)', 'Trastornos del metabolismo y de la nutrición', 'Frecuente: hipopotasemia Ocasional: hiponatremia, hipocalcemia, hipomagnesemia, hiperglucemia']","Frecuente: hipopotasemia || Las reacciones adversas se presentan en orden decreciente de gravedad. Las frecuencias se definen como: Frecuente (> 10 %) Ocasional (1% al 10%) Rara (< 1%) Desconocida (no puede calcularse con los datos disponibles) || Trastornos del metabolismo y de la nutrición || Frecuente: hipopotasemia Ocasional: hiponatremia, hipocalcemia, hipomagnesemia, hiperglucemia"
G00072703-19-ATENOLOL_web#0165,¿Cuál es la cantidad de Atenolol en cada comprimido de ATENOLOL GADOR® 25?,25 mg,2,"['Cada comprimido de ATENOLOL GADOR® 25 contiene: Atenolol ......................................................................................................................................... 25 mg', 'Excipientes: Carbonato de magnesio, Almidón de maíz, Dióxido de silicio coloidal, Lauril sulfato de sodio, Croscarmelosa sódica, Celulosa microcristalina, Estearato de magnesio, Almidón pregelatinizado ....................................................................................................................................... c.s.']","Cada comprimido de ATENOLOL GADOR® 25 contiene: Atenolol ......................................................................................................................................... 25 mg || Excipientes: Carbonato de magnesio, Almidón de maíz, Dióxido de silicio coloidal, Lauril sulfato de sodio, Croscarmelosa sódica, Celulosa microcristalina, Estearato de magnesio, Almidón pregelatinizado ....................................................................................................................................... c.s."
G00072703-19-ATENOLOL_web#0180,¿Qué tratamiento se recomienda para la bradicardia causada por sobredosis de atenolol?,Atropina intravenosa,2,"['Atropina intravenosa; si no se tiene respuesta, aplicar isoproterenol. En casos rebeldes, está indicado el marcapasos.', 'Si es necesario, se puede agregar una dosis en bolo de 10 mg/hora de glucagón por vía intravenosa dependiendo de la respuesta.']","Atropina intravenosa; si no se tiene respuesta, aplicar isoproterenol. En casos rebeldes, está indicado el marcapasos. || Si es necesario, se puede agregar una dosis en bolo de 10 mg/hora de glucagón por vía intravenosa dependiendo de la respuesta."
G00072803-14-alplax-digest-web#0195,¿Cuál es el porcentaje de unión a las proteínas séricas de sulpirida?,menor del 40%,1,['El porcentaje de unión a las proteínas séricas de sulpirida es menor del 40%'],El porcentaje de unión a las proteínas séricas de sulpirida es menor del 40%
G00072803-14-alplax-digest-web#0210,¿Cuál es el efecto adverso más común del alprazolam?,Somnolencia o aturdimiento,2,"['Los eventos adversos más frecuentes son probablemente una extensión de la actividad farmacológica de alprazolam, por ejemplo, somnolencia o aturdimiento.', 'Abajo se detallan los eventos adversos descriptos en estudios clínicos en trastornos de ansiedad y trastorno de pánico, con o sin agorafobia.']","Los eventos adversos más frecuentes son probablemente una extensión de la actividad farmacológica de alprazolam, por ejemplo, somnolencia o aturdimiento. || Abajo se detallan los eventos adversos descriptos en estudios clínicos en trastornos de ansiedad y trastorno de pánico, con o sin agorafobia."
G00072904-04-web#0240,¿Cuál es el tratamiento recomendado para la sobredosis de allopurinol?,"El tratamiento orientativo inicial de la sobredosis incluye vómito provocado o lavado gástrico, carbón activado, purgante salino, hemodiálisis y otros procedimientos terapéuticos necesarios.",6,"['La reacción más común sería la intolerancia gastrointestinal.', 'La hidratación adecuada para mantener la diuresis óptima facilita la excreción de allopurinol y sus metabolitos. Si se considera necesario, se podrá dializar al paciente.', 'Luego de la cuidadosa evaluación clínica del paciente, de la valorización del tiempo transcurrido desde la ingesta o administración, de la cantidad  de  tóxicos  ingeridos  y  descartando  la  contraindicación  de ciertos procedimientos, el profesional decidirá la realización o no del tratamiento  general  de  rescate: vómito  provocado  o  lavado  gástrico, carbón activado, purgante salino (45 a 60 minutos luego del carbón activado),  hemodiálisis  o  aquellos  procedimientos  terapéuticos  que considere necesarios.', 'Ante la eventualidad de una sobredosificación, concurrir al Hospital más cercano o comunicarse con los centros de Toxicología: HOSPITAL DE PEDIATRÍA RICARDO GUTIÉRREZ - BUENOS AIRES: (011) 4962-6666/2247', 'Optativamente otros Centros de Intoxicaciones.', 'Síntomas y signos Se ha informado de la ingestión de hasta 22,5 g de allopurinol sin efectos adversos. Los síntomas y signos incluyeron náuseas, vómitos, diarrea y aturdimiento en pacientes que habían ingerido 20 g de allopurinol. La recuperación fue inmediata tras el tratamiento habitual en estos casos.']","La reacción más común sería la intolerancia gastrointestinal. || La hidratación adecuada para mantener la diuresis óptima facilita la excreción de allopurinol y sus metabolitos. Si se considera necesario, se podrá dializar al paciente. || Luego de la cuidadosa evaluación clínica del paciente, de la valorización del tiempo transcurrido desde la ingesta o administración, de la cantidad  de  tóxicos  ingeridos  y  descartando  la  contraindicación  de ciertos procedimientos, el profesional decidirá la realización o no del tratamiento  general  de  rescate: vómito  provocado  o  lavado  gástrico, carbón activado, purgante salino (45 a 60 minutos luego del carbón activado),  hemodiálisis  o  aquellos  procedimientos  terapéuticos  que considere necesarios. || Ante la eventualidad de una sobredosificación, concurrir al Hospital más cercano o comunicarse con los centros de Toxicología: HOSPITAL DE PEDIATRÍA RICARDO GUTIÉRREZ - BUENOS AIRES: (011) 4962-6666/2247 || Optativamente otros Centros de Intoxicaciones. || Síntomas y signos Se ha informado de la ingestión de hasta 22,5 g de allopurinol sin efectos adversos. Los síntomas y signos incluyeron náuseas, vómitos, diarrea y aturdimiento en pacientes que habían ingerido 20 g de allopurinol. La recuperación fue inmediata tras el tratamiento habitual en estos casos."
G00072904-04-web#0255,¿Quién debe evitar tomar ALLOPURINOL GADOR 100 o ALLOPURINOL GADOR 300 si está embarazada?,Si se encuentra embarazada.,3,"['Si se encuentra embarazada.', 'Usted NO debe tomar ALLOPURINOL GADOR 100 o ALLOPURINOL GADOR 300:', '• Si se encuentra embarazada.']",Si se encuentra embarazada. || Usted NO debe tomar ALLOPURINOL GADOR 100 o ALLOPURINOL GADOR 300: || • Si se encuentra embarazada.
G00073003-10-alplax-web#0270,"¿Cuál es el contenido de Almidón pregelatinizado en cada comprimido de ALPLAX® 0,5?",0.33 mg,2,"['Cada comprimido de ALPLAX® 0,25 contiene: Alprazolam ......................................................................................................................... 0,25 mg Excipientes: Crospovidona .................................................................................................................... 1,65 mg Lactosa monohidrato........................................................................................................ 1,84 mg Dióxido de silicio coloidal ................................................................................................ 0,25 mg Almidón de maíz ............................................................................................................... 0,79 mg Almidón pregelatinizado ................................................................................................ 0,33 mg Polisorbato 60 ......................................................................................................................0,5 mg Celactosa ........................................................................................................................ 149,47 mg Croscaramelosa sódica........................................................................................................6,6 mg Tartrazina laca alumínica .................................................................................................. 0,02 mg Estearato de magnesio ........................................................................................................3,3 mg', 'Cada comprimido de ALPLAX® 0,5 contiene: Alprazolam ............................................................................................................................0,5 mg Excipientes: Crospovidona .......................................................................................................................3,3 mg Lactosa monohidrato......................................................................................................3,682 mg Dióxido de silicio coloidal ..............................................................................................0,495 mg Almidón de maíz ............................................................................................................. 1,578 mg Almidón pregelatinizado ...............................................................................................0,660 mg Polisorbato 60 .................................................................................................................0,990 mg Celactosa ........................................................................................................................143,84 mg Croscaramelosa sódica...................................................................................................6,600 mg Azul brillante laca alumínica..........................................................................................0,009 mg Indigotina laca alumínica ..............................................................................................0,046 mg Estearato de magnesio ...................................................................................................3,300 mg']","Cada comprimido de ALPLAX® 0,25 contiene: Alprazolam ......................................................................................................................... 0,25 mg Excipientes: Crospovidona .................................................................................................................... 1,65 mg Lactosa monohidrato........................................................................................................ 1,84 mg Dióxido de silicio coloidal ................................................................................................ 0,25 mg Almidón de maíz ............................................................................................................... 0,79 mg Almidón pregelatinizado ................................................................................................ 0,33 mg Polisorbato 60 ......................................................................................................................0,5 mg Celactosa ........................................................................................................................ 149,47 mg Croscaramelosa sódica........................................................................................................6,6 mg Tartrazina laca alumínica .................................................................................................. 0,02 mg Estearato de magnesio ........................................................................................................3,3 mg || Cada comprimido de ALPLAX® 0,5 contiene: Alprazolam ............................................................................................................................0,5 mg Excipientes: Crospovidona .......................................................................................................................3,3 mg Lactosa monohidrato......................................................................................................3,682 mg Dióxido de silicio coloidal ..............................................................................................0,495 mg Almidón de maíz ............................................................................................................. 1,578 mg Almidón pregelatinizado ...............................................................................................0,660 mg Polisorbato 60 .................................................................................................................0,990 mg Celactosa ........................................................................................................................143,84 mg Croscaramelosa sódica...................................................................................................6,600 mg Azul brillante laca alumínica..........................................................................................0,009 mg Indigotina laca alumínica ..............................................................................................0,046 mg Estearato de magnesio ...................................................................................................3,300 mg"
G00073003-10-alplax-web#0285,¿Cuál es la dosis de Alprazolam en cada comprimido de ALPLAX® 2?,2 mg,2,"['Cada comprimido de ALPLAX® 2 contiene: Alprazolam ............................................................................................................................... 2 mg', 'La dosis usual inicial es de 0,25 a 0,5 mg tres veces por día,']","Cada comprimido de ALPLAX® 2 contiene: Alprazolam ............................................................................................................................... 2 mg || La dosis usual inicial es de 0,25 a 0,5 mg tres veces por día,"
G00073003-10-alplax-web#0300,¿Cuál es la temperatura máxima permitida para conservar el medicamento ALPLAX?,25°C,1,['Conservar a temperatura ambiente hasta 25°C. Protegido de la luz.'],Conservar a temperatura ambiente hasta 25°C. Protegido de la luz.
G00073204-10-alplax-net-web#0315,¿Cuál es el efecto de la cimetidina en las concentraciones plasmáticas de alprazolam?,Incrementa las concentraciones plasmáticas de alprazolam,1,"['Cimetidina: incrementa las concentraciones plasmáticas de alprazolam, disminuye la eliminación en un 42% e incrementa la vida media en un 16%.']","Cimetidina: incrementa las concentraciones plasmáticas de alprazolam, disminuye la eliminación en un 42% e incrementa la vida media en un 16%."
G00073301-06-ProspectoWebAminomux#0330,¿Cuál es la velocidad máxima de infusión recomendada para el pamidronato disódico en pacientes con insuficiencia renal establecida o sospechada?,22 mg/hora,2,"['La velocidad de infusión no debe superar los 60 mg/hora (1 mg/ min),', 'En pacientes con insuficiencia renal establecida o sospechada (por ejemplo, aquellos con hipercalcemia inducida por el tumor o mieloma múltiple), se recomienda que la velocidad de infusión no exceda los 22 mg/hora.']","La velocidad de infusión no debe superar los 60 mg/hora (1 mg/ min), || En pacientes con insuficiencia renal establecida o sospechada (por ejemplo, aquellos con hipercalcemia inducida por el tumor o mieloma múltiple), se recomienda que la velocidad de infusión no exceda los 22 mg/hora."
G00073301-06-ProspectoWebAminomux#0345,¿Cuál es la temperatura máxima permitida para almacenar el medicamento AMINOMUX?,25°C,3,"['Conservar en lugar seco a temperatura ambiente inferior a 25°C.', 'La solución reconstituida se mantiene estable por hasta 24 horas si es conservada en la heladera (2°C a 8°C).', 'Luego de la dilución, la solución es física y químicamente estable por hasta 24 horas a temperatura ambiente que no exceda los 25oC.']","Conservar en lugar seco a temperatura ambiente inferior a 25°C. || La solución reconstituida se mantiene estable por hasta 24 horas si es conservada en la heladera (2°C a 8°C). || Luego de la dilución, la solución es física y químicamente estable por hasta 24 horas a temperatura ambiente que no exceda los 25oC."
G00073406-03-ProspectoWebBiletan-BiletanForte-BiletanForte200#0360,¿Cuál es la temperatura óptima para conservar BILETAN FORTE 200?,Entre 15°C y 25°C,1,"['Conservar a temperatura entre 15°C y 25°C, protegido de la luz.']","Conservar a temperatura entre 15°C y 25°C, protegido de la luz."
G00073701-09-Coracil_web#0375,¿Cuál fue la reducción del C-LDL en pacientes que tomaron ezetimibe 10 mg en combinación con simvastatina 20 mg?,38%,1,"['Después de un año, incluyendo a los pacientes que ya no tomaban la medicación del estudio, el C-LDL se redujo en un 26% en relación a placebo por simvastatina 20 mg sola y un 38% con ezetimibe 10 mg en combinación con simvastatina 20 mg.']","Después de un año, incluyendo a los pacientes que ya no tomaban la medicación del estudio, el C-LDL se redujo en un 26% en relación a placebo por simvastatina 20 mg sola y un 38% con ezetimibe 10 mg en combinación con simvastatina 20 mg."
G00073701-09-Coracil_web#0390,¿Qué edad mínima recomienda el uso de CORACIL en niños?,10 años,1,['No se recomienda el tratamiento con CORACIL® en niños <10 años.'],No se recomienda el tratamiento con CORACIL® en niños <10 años.
G00073803-12-biletan-e-web#0405,¿Cuál es el máximo de unidades de lipasa por kilogramo de peso recomendado?,10000-12000 unidades de lipasa por kilogramo de peso,1,"['Orientativamente 1 ó 2 comprimidos durante la comida, sin masticar y con abundante agua. Se puede aumentar la dosis varias veces, de ser necesario, hasta un máximo de aproximadamente 10000-12000 unidades de lipasa por kilogramo de peso,']","Orientativamente 1 ó 2 comprimidos durante la comida, sin masticar y con abundante agua. Se puede aumentar la dosis varias veces, de ser necesario, hasta un máximo de aproximadamente 10000-12000 unidades de lipasa por kilogramo de peso,"
G00074603-13-danantizol-web#0420,¿Cómo actúa el metimazol en la síntesis de hormonas tiroideas?,El metimazol actúa bloqueando la síntesis de hormonas tiroideas T3 y T4 interfiriendo en la incorporación del yodo en los residuos tirosil de la tiroglobulina.,2,"['El metimazol reduce la concentración de yodo inorgánico disminuyendo la formación de los precursores de las hormonas tiroideas di-yodotirosina y tiroxina.', 'Así pues, el metimazol actúa modificando la síntesis de las hormonas tiroideas, pero no altera la acción de las hormonas tiroideas ya sintetizadas.']","El metimazol reduce la concentración de yodo inorgánico disminuyendo la formación de los precursores de las hormonas tiroideas di-yodotirosina y tiroxina. || Así pues, el metimazol actúa modificando la síntesis de las hormonas tiroideas, pero no altera la acción de las hormonas tiroideas ya sintetizadas."
G00074704-02-Cortipyren_B_web#0435,¿Cuántos miligramos de Lactosa Monohidrato contiene cada comprimido de CORTIPYREN B 4?,"74,660 mg",2,"['Cada comprimido de CORTIPYREN® B 4 contiene: Meprednisona (16-β-metilprednisona) ....................................4,000 mg Excipientes: Lactosa Monohidrato.................................................................74,660 mg', 'Cada comprimido de CORTIPYREN B 8 contiene: Meprednisona (16-β-metilprednisona) ....................................8,000 mg Excipientes: Lactosa Monohidrato...............................................................149,315 mg']","Cada comprimido de CORTIPYREN® B 4 contiene: Meprednisona (16-β-metilprednisona) ....................................4,000 mg Excipientes: Lactosa Monohidrato.................................................................74,660 mg || Cada comprimido de CORTIPYREN B 8 contiene: Meprednisona (16-β-metilprednisona) ....................................8,000 mg Excipientes: Lactosa Monohidrato...............................................................149,315 mg"
G00074704-02-Cortipyren_B_web#0450,¿Qué efecto secundario puede ocurrir con el uso prolongado de glucocorticoides?,Coriorretinopatía central serosa y pérdida de la visión.,2,"['El tratamiento con glucocorticoides por vía sistémica puede causar coriorretinopatía, que puede llevar a trastornos visuales incluyendo la pérdida de la visión.', 'El uso prolongado de glucocorticoides por vía sistémica incluso a bajas dosis puede causar coriorretinopatia central serosa.']","El tratamiento con glucocorticoides por vía sistémica puede causar coriorretinopatía, que puede llevar a trastornos visuales incluyendo la pérdida de la visión. || El uso prolongado de glucocorticoides por vía sistémica incluso a bajas dosis puede causar coriorretinopatia central serosa."
G00074902-04-Clinadol_Fte_y_Fote_AP-web#0465,¿Cuál es el riesgo de sangrado gastrointestinal en pacientes con antecedentes de úlcera o sangrado gastrointestinal que toman AINES?,Diez veces mayor que en pacientes sin antecedentes de úlcera o sangrado gastrointestinal.,2,"['Los AINES deben ser prescriptos con extrema precaución, en los pacientes con antecedentes de úlcera o sangrado gastrointestinal, dado que estos pacientes presentan un aumento de diez veces, en el riesgo de presentar sangrado gastrointestinal.', 'Otros factores de riesgo que incrementan el riesgo de sangrado gastrointestinal asociado al uso de AINES incluyen: el uso concomitante de corticoides orales, anticoagulantes, tabaquismo, consumo de alcohol, edad avanzada y malas condiciones de salud en general.']","Los AINES deben ser prescriptos con extrema precaución, en los pacientes con antecedentes de úlcera o sangrado gastrointestinal, dado que estos pacientes presentan un aumento de diez veces, en el riesgo de presentar sangrado gastrointestinal. || Otros factores de riesgo que incrementan el riesgo de sangrado gastrointestinal asociado al uso de AINES incluyen: el uso concomitante de corticoides orales, anticoagulantes, tabaquismo, consumo de alcohol, edad avanzada y malas condiciones de salud en general."
G00075106-08-filten-web#0480,¿Cuál es la cantidad de Carvedilol en cada comprimido ranurado de FILTEN® 50?,50 mg,2,"['Cada comprimido ranurado de FILTEN® 50 contiene: Carvedilol ............................................................................................. 50 mg', 'Excipientes: Dióxido de silicio coloidal, Indigotina Laca Aluminica 100%, Amarillo quinoleína laca alumínica 100%, Lactosa monohidrato, Croscarmelosa sódica, Povidona, Poloxámero 188, Coprocesado de celulosa-lactosa, Estearato de magnesio vegetal .................................c.s.']","Cada comprimido ranurado de FILTEN® 50 contiene: Carvedilol ............................................................................................. 50 mg || Excipientes: Dióxido de silicio coloidal, Indigotina Laca Aluminica 100%, Amarillo quinoleína laca alumínica 100%, Lactosa monohidrato, Croscarmelosa sódica, Povidona, Poloxámero 188, Coprocesado de celulosa-lactosa, Estearato de magnesio vegetal .................................c.s."
G00075106-08-filten-web#0495,"¿Qué excipiente contiene el comprimido ranurado de FILTEN® 3,125?","Lactosa monohidrato, Almidón de maíz, Croscaramelosa sódica, Povidona, Dióxido de silicio coloidal, Laca alumínica FD&C azul y Estearato de magnesio",1,"['Cada comprimido ranurado de FILTEN® 3,125 contiene: Carvedilol ......................................................................................3,125 mg Excipientes: Lactosa monohidrato, Almidón de maíz, Croscaramelosa sódica, Povidona, Dióxido de silicio coloidal, Laca alumínica FD&C azul N°2, Estearato de magnesio ................................................................. c.s.']","Cada comprimido ranurado de FILTEN® 3,125 contiene: Carvedilol ......................................................................................3,125 mg Excipientes: Lactosa monohidrato, Almidón de maíz, Croscaramelosa sódica, Povidona, Dióxido de silicio coloidal, Laca alumínica FD&C azul N°2, Estearato de magnesio ................................................................. c.s."
G00075203-03-CALCIMAX-CALCIMAX-FTE-Prospecto-web#0510,¿Cuál es la dosis máxima recomendada de calcio para pacientes con tratamiento prolongado?,No sobrepasar la dosis máxima recomendada y en caso de tratamiento prolongado se deberá controlar la calciuria y reducir o interrumpir la administración si la calciuria sobrepasa los 7.5 mmol/24 hs (300 mg/24hs).,2,"['Se recomienda no sobrepasar la dosis máxima recomendada.', 'En caso de tratamiento prolongado se deberá controlar la calciuria y reducir o interrumpir la administración si la calciuria sobrepasa los 7.5 mmol/24 hs (300 mg/24hs).']",Se recomienda no sobrepasar la dosis máxima recomendada. || En caso de tratamiento prolongado se deberá controlar la calciuria y reducir o interrumpir la administración si la calciuria sobrepasa los 7.5 mmol/24 hs (300 mg/24hs).
G00075301-12-web-calcimax#0525,¿Cuál es el medicamento indicado para la prevención y tratamiento de la osteoporosis?,CALCIMAX D3,1,"['CALCIMAX® D3 está indicado: • Para el tratamiento de estados carenciales de calcio y vitamina D. • Para la prevención y tratamiento de la osteoporosis, cuando el aporte a través de la dieta sea insuficiente. • Cuando existe alguna enfermedad que produce niveles bajos de calcio en sangre en forma prolongada con falta de vitamina D (Hipocalcemia crónica).']","CALCIMAX® D3 está indicado: • Para el tratamiento de estados carenciales de calcio y vitamina D. • Para la prevención y tratamiento de la osteoporosis, cuando el aporte a través de la dieta sea insuficiente. • Cuando existe alguna enfermedad que produce niveles bajos de calcio en sangre en forma prolongada con falta de vitamina D (Hipocalcemia crónica)."
G00075402-07-enemol-web#0540,¿Cuántos días seguidos se debe administrar ENEMOL®?,No más de seis días seguidos,2,"['No se recomienda el uso repetido y prolongado de ENEMOL® ya que puede producir habituación.', 'En ningún caso debe utilizarse más de seis días seguidos o si los síntomas empeoran o persisten.']",No se recomienda el uso repetido y prolongado de ENEMOL® ya que puede producir habituación. || En ningún caso debe utilizarse más de seis días seguidos o si los síntomas empeoran o persisten.
G00075902-04-gadoprild-web#0555,¿Qué es GADOPRIL D indicado para tratar?,La hipertensión arterial en pacientes para los cuales la terapia combinada es apropiada.,2,"['GADOPRIL® D está indicado para el tratamiento de la hipertensión arterial en pacientes para los cuales la terapia combinada es apropiada.', 'Un alto porcentaje de pacientes hipertensos responde en forma satisfactoria a GADOPRIL® D aún en algunos casos en los que no hayan respondido a alguno de los componentes por separado.']",GADOPRIL® D está indicado para el tratamiento de la hipertensión arterial en pacientes para los cuales la terapia combinada es apropiada. || Un alto porcentaje de pacientes hipertensos responde en forma satisfactoria a GADOPRIL® D aún en algunos casos en los que no hayan respondido a alguno de los componentes por separado.
G00075902-04-gadoprild-web#0570,¿Cuál es la DL50 oral de enalapril en ratas y ratones?,2000 mg/kg,1,['La DL50 oral de enalapril es de 2000 mg/kg en ratas y ratones.'],La DL50 oral de enalapril es de 2000 mg/kg en ratas y ratones.
G00076103-09_foxetin-web#0585,¿Cuántas semanas debe monitorear un paciente después de la administración de linezolid o azul de metileno intravenoso?,5 semanas o hasta 24 hs. después de la última dosis,2,"['El paciente debe ser monitoreado por la aparición de síntomas de síndrome serotoninérgico durante 5 semanas o hasta 24 hs. después de la última dosis de linezolid o azul de metileno intravenoso, lo que ocurra primero.', 'El tratamiento con FOXETIN® debe ser reinstaurado 24 hs. después de la última dosis de linezolid o azul de metileno intravenoso.']","El paciente debe ser monitoreado por la aparición de síntomas de síndrome serotoninérgico durante 5 semanas o hasta 24 hs. después de la última dosis de linezolid o azul de metileno intravenoso, lo que ocurra primero. || El tratamiento con FOXETIN® debe ser reinstaurado 24 hs. después de la última dosis de linezolid o azul de metileno intravenoso."
