chunk_id,question,context_preview,doc_id
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0210,¿Qué es la función principal de la HMG-CoA reductasa en el cuerpo?,"ACCIÓN FARMACOLÓGICA:  Mecanismos de acción Atorvastatina  cálcica  es  un  inhibidor  competitivo  y  selectivo  de  la  HMG-CoA reductasa, la enzima que limita la velocidad de conversión de 3-hidroxi-3-metilglutaril-Coenzima  A  en  meval…",Ampliar_80__Instruccion-Ampliar-80-180x600-web
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0225,¿Cuál es la importancia clínica de la interacción con otras drogas?,"# Ver PRECAUCIONES, Interacción con otras drogas respecto a la importancia clínica:",Ampliar_80__Instruccion-Ampliar-80-180x600-web
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0240,¿Cuántos comprimidos tiene cada envase?,PRESENTACIÓN:  Envases con 30 comprimidos recubiertos. Fecha de última revisión: marzo de 2021.,Ampliar_80__Instruccion-Ampliar-80-180x600-web
Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO#0255,¿Cuál es la reacción adversa más común con ezetimibe en pacientes que reciben solo este medicamento?,"Reacciones  adversas:  generalmente leves y transitorias. En ensayos clínicos, menos del 2% de los pacientes suspendieron el tratamiento debido a efectos adversos causados por atorvastatin.  reacciones  adversas  con  atorvastatin  son  las…",Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO
Ampliar_Plus__D1461-E-1203-03-Instrucci_n-Ampliar-Plus#0270,¿Cuál es la dosis máxima recomendada de atorvastatina en humanos?,cerebral y vascuolización del nervio óptico. La dosis de 120 mg/kg/día resultó en una exposición sistémica de aproximadamente 16 veces el área por debajo de la curva 5 6 de plasma en humanos (AUC 0-24 horas) basada en la dosis máxima en hum…,Ampliar_Plus__D1461-E-1203-03-Instrucci_n-Ampliar-Plus
Ampliar__D1174-E-0330-03-Instruccion-Ampliar-10-y-20#0285,¿Cuál es el efecto de la insuficiencia renal en las concentraciones plasmáticas de atorvastatin?,"Precauciones:  -Generales: antes de comenzar el tratamiento con atorvastatin se recomienda intentar reducir los niveles de colesterol a través de la dieta, ejercicio y reducción de peso en pacientes obesos. -Sexo: las concentraciones plasmá…",Ampliar__D1174-E-0330-03-Instruccion-Ampliar-10-y-20
Antimicon__E-1423-02-Instruccion-Antimicon#0300,¿Qué temperatura debe mantenerse el medicamento Antimicon?,"Presentación:  envases con 2 y 4 comprimidos. Fecha de última revisión: enero de 2012  Forma de conservación - Conservar a temperatura ambiente desde 15°C hasta 30°C, al abrigo de la humedad. - Mantener alejado del alcance de los niños. Dir…",Antimicon__E-1423-02-Instruccion-Antimicon
Bemplas__D2948-E-2621-01-Instruccion-Bemblas-1#0315,¿Cómo ejerce su efecto diurético la clortalidona?,"Acción farmacológica Clonidina:  la  clonidina  estimula  receptores  alfa  adrenérgicos  centrales,  reduciendo  el  tono simpático central y la resistencia periférica, con disminución de la presión arterial. Clortalidona: la clortalidona …",Bemplas__D2948-E-2621-01-Instruccion-Bemblas-1
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0330,¿Qué precaución se recomienda especialmente en pacientes con antecedentes de descompensación cardíaca?,"Precauciones:  BLOKIUM  B12  IM  no  debe  ser  usado  concomitantemente  con  otros  productos  que contengan similares principios activos u otros AINE. Previamente a su administración deben adoptarse medidas  de  precaución  adecuadas,  t…",Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0345,¿Cómo conservar BLOKIUM B12 IM?,"Musculoesqueléticas: debilidad muscular, pérdida de masa muscular, osteoporosis, fracturas vertebrales por compresión, necrosis aséptica de la cabeza del húmero y del fémur, fracturas patológicas de huesos largos. Gastrointestinales: úlcera…",Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0360,¿Cuál es el medicamento que puede inhibir la acción farmacológica de los diuréticos?,"PRECAUCIONES:  BLOKIUM CORT por contener diclofenac debe usarse con precaución en pacientes con trastornos de la función renal, cardíaca o hepática y en pacientes sometidos a cirugía mayor o que presenten depleción del volumen intravascular…",Blokium_Cort__Instruccion-Blokium-Cort-para-Web
Blokium_Cox_Gesic__D7689-E-7350-01-INST.-BLOKIUM-COX-GESIC-COMPLETA-UHLMANN-200x600-web#0375,¿Cuál medicamento puede potenciar la acción del paracetamol?,"Entre ellos destacan el etanol (administrado de forma aguda), el disulfiram, el ciprofloxacino, la cimetidina, la claritromicina, la eritromicina, el zumo de pomelo, el ketoconazol y la paroxetina. Se debe tener precaución con las siguiente…",Blokium_Cox_Gesic__D7689-E-7350-01-INST.-BLOKIUM-COX-GESIC-COMPLETA-UHLMANN-200x600-web
Blokium_Cox__Instruccion-Blokium-Cox-editable#0390,¿Cuál es la indicación principal del medicamento BLOKIUM COX?,"BLOKIUM®  COX  ETORICOXIB  Venta Bajo Receta - Industria Argentina  COMPRIMIDOS RECUBIERTOS  Fórmulas Cada comprimido recubierto x 60 mg contiene ETORICOXIB  60,000  mg; Excipientes: celulosa  microcristalina  52,000  mg; fosfato  tricálcic…",Blokium_Cox__Instruccion-Blokium-Cox-editable
Blokium_Cox__Instruccion-Blokium-Cox-editable#0405,¿Qué efecto adverso puede ocurrir con BLOKIUM COX?,"médico inmediatamente. • Dificultad para respirar, dolor torácico o hinchazón de tobillo, o si éstos empeoran. • Color amarillento de la piel y los ojos (ictericia) - éstos son signos de problemas hepáticos. • Dolor de estómago intenso o co…",Blokium_Cox__Instruccion-Blokium-Cox-editable
Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos#0420,¿Qué efecto puede tener el diclofenac en los niveles plasmáticos del litio?,"han comunicado visión borrosa y disminuida, escotomas y/o alteración en la visión de los colores. Si un paciente desarrolla dichas alteraciones mientras recibe diclofenac, se debe discontinuar el fármaco y someter al paciente a exámenes oft…",Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos
Blokium_Gel__Instruccion-Blokium-Gel-editable#0435,¿Qué tipo de inhibidor es el diclofenac?,"Acción Farmacológica:  diclofenac es un antiinflamatorio no esteroideo con propiedades antiinflamatorias y analgésicas. En estudios farmacológicos el diclofenac ha demostrado tener actividad antiinflamatoria, analgésica y antipirética. Es i…",Blokium_Gel__Instruccion-Blokium-Gel-editable
Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web#0450,¿Qué es el tratamiento sintomático de la dismenorrea primaria?,"ACCIÓN TERAPÉUTICA:  Antiinflamatorio,  analgésico  y  antipirético  no  esteroide. Tratamiento sintomático de la dismenorrea primaria. Cód. ATC: M01AB55  inflamatorios  ginecológicos  (por  ejemplo:",Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web
Blokium_P__MKG-Instruccion-Blokium-P#0495,¿Cuál es el tipo de medicamento que es el diclofenac potásico?,"Acción Farmacológica:  el diclofenac potásico, principio activo de  BLOKIUM P es un antiinflamatorio no esteroideo (AINE) derivado del ácido bencenoacético. En estudios farmacológicos el diclofenac ha mostrado tener actividad antiinflamator…",Blokium_P__MKG-Instruccion-Blokium-P
Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect#0510,¿Qué es el mecanismo de acción del diclofenac en el proceso inflamatorio?,"Composición  de  los  Pellets  de  Omeprazol:  hidroxipropilcelulosa  3,00  mg,  celulosa microcristalina 2,00 mg, lauril sulfato de sodio 0,25 mg, lactosa anhidra 4,00 mg, manitol 80,75 mg, fosfato disódico 0,40 mg, hidroxipropilmetilcelul…",Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0540,¿Cuántas veces mayor fue la exposición al ácido bempedoico en pacientes con insuficiencia renal leve?,"poblacional con datos agrupados de todos los ensayos clínicos (n=2261) para evaluar más a fondo los efectos de la función renal sobre el AUC en estado estacionario del ácido bempedoico, se encontró que en comparación con los pacientes con f…",Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0555,¿Cuál es el medicamento que debe evitarse en pacientes con insuficiencia renal?,"bíceps o el tendón de Aquiles. La rotura tendinosa se produjo a las pocas semanas o meses de comenzar con ácido bempedoico. La rotura tendinosa podría ocurrir con mayor frecuencia en pacientes mayores de 60 años, en aquellos que toman corti…",Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web
Broncho-Vaxom_C_psulas__D0265-E-0829-05-Instrucci_n-Broncho-Vaxom-C_psulas-1#0570,¿Qué precaución se recomienda durante el embarazo con BRONCHO-VAXOM?,"Advertencias y Precauciones:  BRONCHO-VAXOM® puede provocar reacciones de hipersensibilidad. Si  se  presentaran  reacciones  alérgicas  o  signos  de  intolerancia,  el  tratamiento  debe suspenderse de inmediato. Embarazo y Lactancia: no …",Broncho-Vaxom_C_psulas__D0265-E-0829-05-Instrucci_n-Broncho-Vaxom-C_psulas-1
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0585,¿Cuál es el efecto de la edad en la farmacocinética del levetiracetam?,"terapéutica, no son inhibidores de ni sustratos de alta afinidad para las isoformas de citocromo P450 del hígado humano, la hidrolasa epoxídica o las enzimas de UDP-glucuronidación. Además, el levetiracetam no afecta a la glucuronidación in…",Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0600,¿Cuál fue el evento psiquiátrico informado con mayor frecuencia en pacientes tratados con levetiracetam?,"convulsiones generalizadas primarias, pero sin diferencias entre los grupos tratados con placebo y con levetiracetam y sin discontinuaciones considerables. Aunque se puede esperar que los eventos relacionados con la droga observados en paci…",Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable
Callexe_XR__Callexe-XR_compressed#0615,¿Cuál es el peso de hidroxipropilmetilcelulosa K 15 en los comprimidos recubiertos de liberación extendida x 750 mg?,CALLEXE® XR  LEVETIRACETAM  Venta Bajo Receta - Industria Argentina  COMPRIMIDOS RECUBIERTOS  DE LIBERACIÓN EXTENDIDA  Fórmulas Comprimidos recubiertos de liberación extendida x 500 mg Cada  comprimido  recubierto  de  liberación  extendida…,Callexe_XR__Callexe-XR_compressed
Callexe_XR__Callexe-XR_compressed#0630,¿Cuál es el efecto de levetiracetam en la farmacocinética del valproato?,realizados con levetiracetam comprimidos de liberación inmediata sean considerados relevantes para los pacientes tratados con levetiracetam liberación prolongada. Aunque la mayoría de los análisis de laboratorio no estén sistemáticamente al…,Callexe_XR__Callexe-XR_compressed
Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web#0645,¿Cuál es la dosis máxima recomendada de CARDIPLEN para el tratamiento de insuficiencia cardíaca crónica estable?,"POSOLOGÍA Y MODO DE ADMINISTRACIÓN:  Adultos Hipertensión arterial y angina de pecho  1  La dosis usual es de 10 mg una vez al día. En algunos pacientes puede resultar suficiente una dosis de 2,5 ó 5 mg una vez al día. La dosis máxima recom…",Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web
Carrier_20__D1958-E-1672-02-Instruccion-Carrier-20-1#0660,¿Cuál es el tratamiento sintomático para la demencia tipo Alzheimer de intensidad moderada a severa?,Indicaciones:  tratamiento sintomático de la demencia tipo Alzheimer de intensidad moderada a severa.,Carrier_20__D1958-E-1672-02-Instruccion-Carrier-20-1
Carrier_Plus__D2129-E-1850-02-Instruccion-Carrier-plus#0675,¿Cuál es el efecto adverso más común de la memantina en pacientes con asma?,"que los agentes colinérgicos tienen potencial para causar convulsiones generalizadas. Debe tenerse en cuenta, sin embargo que las convulsiones pueden ser una manifestación de la enfermedad de Alzheimer. - Trastornos respiratorios: debido a …",Carrier_Plus__D2129-E-1850-02-Instruccion-Carrier-plus
Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR#0690,¿Cuál es el número de certificado del medicamento CARRIER XR?,"Presentación CARRIER XR:  envases con 30 comprimidos recubiertos de liberación prolongada. Si Ud. toma dosis mayores de CARRIER XR  de las que debiera Si toma más de la cantidad indicada de CARRIER XR, consulte a su médico. En  caso  de  so…",Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR
Cominar__D2745-E-2423-01-Instruccion-Cominar-1#0705,¿Cuánto lactosa contiene cada cápsula de Diacereína?,"Fórmula Cada  cápsula  contiene:  DIACEREÍNA  50,0  mg. Excipientes:  lactosa  226,0  mg, povidona K-30 7,5 mg, croscarmelosa sódica 9,0 mg, polisorbato 80 3,0 mg, estearato de magnesio 4,5 mg.",Cominar__D2745-E-2423-01-Instruccion-Cominar-1
Conductasa_1200__Instruccion-Conductasa-1200-180x300-WEB#0720,¿Cuál es el efecto de la mesalazina en la activación de NFkB?,"de la lipooxigenasa como la ciclo-oxigenasa, se encuentra incrementada en pacientes con enfermedad inflamatoria intestinal crónica, y es posible que la mesalasina disminuya la inflamación al bloquear la cicloxigenasa e inhibir la producción…",Conductasa_1200__Instruccion-Conductasa-1200-180x300-WEB
Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1#0750,¿Qué efecto tiene la inflamación en la absorción percutánea de los corticoides tópicos?,"Farmacocinética:  la  absorción  percutánea  de  los  corticoides  tópicos  está  determinada  por muchos  factores,  incluyendo  el  vehículo  y  la  integridad  de  la  barrera  epidérmica. El  vendaje oclusivo con hidrocortisona durante …",Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1
Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1#0765,¿Qué pacientes no deben usar CORTICAS L UD?,Contraindicaciones:  CORTICAS L UD está contraindicado en pacientes con hipersensibilidad o idiosincrasia demostrada a cualquiera de sus componentes. La betametasona está contraindicada en pacientes con infecciones micóticas sistémicas.,Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1
Corticas_L__D1689-E-1557-01-Instrucci_n-Corticas-L-1#0780,¿Cuál es el efecto de la rifampicina en los corticosteroides durante la quimioprofilaxis?,"Precauciones:  como  las  complicaciones  de  la  corticoterapia  dependen  de  la  magnitud  de  la dosis y de la duración del tratamiento, para cada paciente deberá tomarse una decisión basada en los riesgos y beneficios de la administrac…",Corticas_L__D1689-E-1557-01-Instrucci_n-Corticas-L-1
Crada__Instruccion-Crada-Web-1#0795,¿Cómo debe ser administrado CRADA según las instrucciones?,CRADA  se  puede  usar  durante  la  lactancia. La  vitamina  D3  pasa  a  la  leche  materna. Esto  se  deberá  tener  en consideración cuando se administre vitamina D adicional al lactante. Si  está  embarazada  o  en  período  de  lactan…,Crada__Instruccion-Crada-Web-1
Crono_Corticas__D1735-E-1446-02-Instruccion-Crono-Corticas#0810,¿Qué temperatura se recomienda para conservar el medicamento?,"Presentación:  envases con 1 frasco ampolla con 2 ml + 1 jeringa con aguja descartable. Fecha de última revisión: mayo de 2009  Forma de conservación - Proteger de la luz, entre 15°C y 30°C. - Mantener alejado del alcance de los niños. Dire…",Crono_Corticas__D1735-E-1446-02-Instruccion-Crono-Corticas
Danlox_40_Venta_Libre___D0995-E-0321-04-Instrucci_n-Danlox-2#0825,¿Cuál es la dosis habitual de DANLOX para tratar una ulcera duodenal?,con una dosis única diaria. Posología y administración Se aconseja suministrar DANLOX por la mañana. En aquellos pacientes con dificultades deglutorias la cápsula puede ser abierta y su contenido ingerido como tal o bien suspendido en un lí…,Danlox_40_Venta_Libre___D0995-E-0321-04-Instrucci_n-Danlox-2
Dercolina_A__Instruccion-Dercolina-A-Adultos#0840,¿Cuál es la edad mínima para usar DERCOLINA A Adultos en niños?,"zinc, peróxido de hidrógeno y sales de aluminio. Embarazo y lactancia DERCOLINA A Adultos puede usarse durante el embarazo y la lactancia. ¿Cómo usar DERCOLINA A Adultos? - La aplicación de la jalea debe efectuarse con un dedo limpio, aplic…",Dercolina_A__Instruccion-Dercolina-A-Adultos
Dercolina__D2607-E-2285-01-Instruccion-Dercolina-Jalea#0855,¿Qué tipo de lesiones se mencionan en el contexto?,"Indicaciones:  ulceraciones, heridas, irritaciones de la mucosa bucal (labios, paladar, encías, lengua).",Dercolina__D2607-E-2285-01-Instruccion-Dercolina-Jalea
Detixol__D3222-E-2897-01-Instruccion-Detixol#0870,¿Cuántas horas prolonga la actividad terapéutica del Succinato de doxilamina?,"Farmacocinética -  Succinato  de  doxilamina:  se  absorbe  bien  a  nivel  gastrointestinal. Tras  su administración por vía oral alcanza concentraciones máximas a las 2-3 horas de su ingesta, prolongándose su actividad terapéutica durante…",Detixol__D3222-E-2897-01-Instruccion-Detixol
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0885,¿Cuál es el riesgo de efectos adversos causados por la amantadina cuando se administra concomitantemente con diuréticos tiazídicos?,"del curare. La administración concomitante de antiinflamatorios no esteroides (por ej. derivados del ácido salicílico, indometacina) puede disminuir la actividad diurética y antihipertensiva del componente tiazídico de valsartán/hidroclorot…",Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0900,¿Qué síntomas deben notar los pacientes que toman DILCORAN D?,"medir de tanto en tanto la cantidad de potasio o de otros minerales en la sangre, especialmente si tiene más de 65 años, si tiene alguna enfermedad cardíaca, hepática o renal, o si toma suplementos de potasio. El médico lo aconsejará al res…",Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0915,¿Cuál es el efecto de la insuficiencia renal en la vida media de eliminación de hidroclorotiazida?,"máximas 6 - 8 horas, 3 horas y 2 horas después de la administración oral de DILCORAN PLUS D a adultos sanos, respectivamente. La velocidad y el grado de absorción de amlodipina, valsartán e hidroclorotiazida con DILCORAN PLUS D son idéntico…",Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0930,¿Qué efecto adverso se asocia con la exposición intrauterina a diuréticos tiazídicos como hidroclorotiazida?,"riesgo de anomalías congénitas. Hidroclorotiazida atraviesa la barrera placentaria. Se han notificado abortos espontáneos, oligohidramnios y disfunción renal en el recién nacido cuando las gestantes ingirieron valsartán por accidente. No ha…",Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1
Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus#0945,¿Cuál es el efecto principal de la sobredosificación de valsartán en DILCORAN PLUS?,"frecuentes Inflamación articular, dolor de espalda, artralgia. Raras Espasmos musculares, sensación de pesadez. Trastornos renales y urinarios Raras Polaquiuria, poliuria. Trastornos del aparato reproductor y mamarios Raras Disfunción eréct…",Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus
Dilcoran__MKG-Instruccion-Dilcoran#0960,¿Cuál es el efecto principal del valsartán sobre la tensión arterial en pacientes con hipertensión?,Acción Farmacológica:  la angiotensina II se produce a partir de la angiotensina I por acción de la ECA. La angiotensina II se une a receptores específicos localizados en las membranas celulares de diversos tejidos y posee una amplia gama d…,Dilcoran__MKG-Instruccion-Dilcoran
Dilcoran__MKG-Instruccion-Dilcoran#0975,¿Cuál es el efecto del valsartán sobre la función hepática en pacientes con hipertensión esencial?,los pacientes tratados con captopril. Se informaron elevaciones ocasionales de los valores de función hepática en pacientes tratados con valsartán. No es necesario un monitoreo especial de los parámetros de laboratorio en los pacientes con …,Dilcoran__MKG-Instruccion-Dilcoran
Elant__D3071-E-2744-01-Instruccion-Elant#0990,¿Qué clase ATC tiene la teneligliptina?,"Acción Terapéutica:  la teneligliptina es un hipoglucemiante oral, inhibidor de la dipeptidil peptidasa 4 (DPP-4). Clase ATC: A10BH.",Elant__D3071-E-2744-01-Instruccion-Elant
Elifer__D1705-E-1406-02-Instruccion-Elifer#1005,¿Cuál es la cantidad de povidona K30 en cada comprimido recubierto de ELIFER 300?,"ELIFER®  GABAPENTIN  Venta Bajo Receta - Industria Argentina  COMPRIMIDOS RECUBIERTOS  Fórmulas ELIFER 100: cada comprimido recubierto contiene: gabapentin 100 mg. Excipientes: copovidona 13,500 mg, fosfato tricálcico 17,825 mg, dióxido sil…",Elifer__D1705-E-1406-02-Instruccion-Elifer
Elifer__D1705-E-1406-02-Instruccion-Elifer#1020,¿Cuál es el efecto adverso más comúnmente asociado con el gabapentin en pacientes pediátricos?,"años de edad) en combinación con otros anticonvulsivantes fueron: infección intestinal, fiebre, náuseas, somnolencia vómitos y hostilidad. Aproximadamente el 7% de los pacientes mayores de 12 años y aproximadamente el 7% de los pacientes pe…",Elifer__D1705-E-1406-02-Instruccion-Elifer
Enabran__D1341-Instrucci_n-Enabran-1#1035,¿Cuál es el síntoma de hiperpirexia asociado al uso del haloperidol?,Advertencias:  Disquinesia  tardía:  Este  síndrome  consistente  en  movimientos  disquinéticos involuntarios potencialmente irreversibles puede desarrollarse en pacientes tratados con drogas antipsicóticas incluyendo el haloperidol. El ri…,Enabran__D1341-Instrucci_n-Enabran-1
Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas#1050,¿Cuál es el síndrome que puede aparecer en pacientes con haloperidol a largo plazo?,"Efectos  adversos:  efecto  sobre  el  SNC:  síntomas  extrapiramidales:  se  pueden  observar frecuentemente síntomas de  tipo  parkinsoniano  a los  pocos  días  de  comenzar el tratamiento con haloperidol, entre ellos acatisia o distonia…",Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1065,¿Cuál es el rango de referencia COVANCE para Prolactina en mujeres de 12 a 14 años?,"X (12.4%) 1 Representa un grupo de MedDRA que incluye los siguientes términos: hipersomnia, letargia, sedación y somnolencia. 2 rango de referencia COVANCE: Mujeres (≥ 13 - ≤ 17.999 años) Hombres (≥ 13 - ≤ 17.999 años) 3 rango de referencia…",Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1080,¿Cuántas veces la dosis diaria máxima recomendada en seres humanos recibieron los monos rhesus de olanzapina?,tener efectos depresores agudos del SNC pero potencial escaso o nulo de abuso o dependencia física en ratas que recibieron dosis orales de hasta 15 veces la dosis diaria máxima recomendada en seres humanos (20 mg) y monos rhesus que recibie…,Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed
