chunk_id,question
Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas#1050,¿Cuál es el síndrome que puede aparecer en pacientes con haloperidol a largo plazo?
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1065,¿Qué refiere COVANCE para Prolactina en adolescentes?
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1080,¿Cuántas veces la dosis diaria máxima recomendada en seres humanos recibieron los monos rhesus de olanzapina?
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1095,¿Qué riesgos hay con topiramato en pacientes?
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1110,¿Qué temperatura para EPISTAL según el certificado?
Ernex_Duo__D0299-E-0863-03-Instruccion-Ernex-Duo#1125,¿Cuál es el tipo de venta de Bencidamina?
Ernex_Rosa__D0680-E-0305-03-Instrucci_n-Ernex-Rosa-Polvo#1140,¿Qué cantidad de sodio contiene cada sobre de Bencidrina?
Exogel__Instruccion-Exogel-1#1155,¿Cuál es la temperatura óptima para conservar EXOGEL?
Explaner_LP__D1792-E-1508-02-Instrucci_n-Explaner-LP-1#1170,¿Qué efecto adverso puede ocurrir en pacientes con trastorno de la función hepática que toman nimodipina?
Factor_AE_Venta_Libre___D0751-E-1133-02-Instrucci_n-Factor-AE-1#1215,¿Qué temperatura es necesaria para conservar CASASCO?
Factor_AG__D0328-E-0291-04-Instrucci_n-Factor-AG-200-1-1#1245,¿Cuál es la cantidad de fosfato tricálcico en cada comprimido?
Factor_D_rmico__Instruccion-Factor-Dermico-Venta#1260,¿Qué tipo de hongos patógenos es efectivo el miconazol contra?
Fentaxina__D1514-E-1254-02-Instrucci_n-Fentaxina-1#1290,¿Qué tratamiento usar ante sobredosis de levofloxacina?
G00072203-01-april-web#1335,¿Cuál es el riesgo relativo de trombosis venosa en mujeres que usan anticonceptivos orales combinados con factores predisponentes?
G00072203-01-april-web#1350,"Dosis etinilestradiol en APRIL, cuánto por comprimido?"
G00072601-09-AMBISOME-Prospecto-web#1365,¿Cuánta anfotericina B hay por AMBISOME frasco?
G00072601-09-AMBISOME-Prospecto-web#1380,¿Cuál es el riesgo de hipopotasemia en pacientes que reciben AMBISOME?
