chunk_id,question
G00229001-01-fucsia-web#6500,"¿Si se retrasa más de 24 horas en tomar un comprimido activo de FUCSIA®, qué debe hacer la mujer?"
Geniceral_45__D0943-E-0318-03-Instrucci_n-Geniceral-45#6850,¿Qué frecuencia recomienda el fabricante de Idebenona para su administración?
Inhalan__D0449-E0968-02-Instrucci_n-Inhalan-1#7100,¿Cuál es la biodisponibilidad promedio del propionato de fluticasona?
Lixidol__web-Instruccion-Lixidol#7350,¿El tramadol puede alterar la capacidad de reacción del paciente?
Lucaftor-200-125-Prospecto-Disposicio_n-5658-2024#7400,¿Cuál es la dosis diaria total recomendada de lumacaftor para pacientes adultos y niños mayores de 12 años?
Modialex__D2668-E-2346-01-Instrucci_n-Modialex#7550,¿A qué temperatura se deben conservar los envases con 30 comprimidos de Modialex?
PALIAX-D-G00194600-00#7900,¿Cuál es la temperatura ambiente recomendada para conservar el medicamento PALIAX® D?
Pelmec_AT__D2216-E-1938-02-Instrucci_n-Pelmec-AT#7950,¿Qué pacientes deben utilizar con precaución el medicamento PELMEC AT?
Pelmec_Plus__D2094-E-1806-03-Instrucci_n-Pelmec-Plus#8000,¿Puede la atorvastatina afectar a la digoxina en combinación?
Pleyar__D2812-E-2486-02-Instrucci_n-Pleyar-1#8050,¿Cuál es el porcentaje de pacientes que desarrollaron neutropenia severa en el estudio CAPRIE con clopidogrel?
Pr.Etabyx.500-1000mg.v01-web#8100,¿Cuál es la dosis inicial recomendada para un niño o adolescente de 25 kg que tome levetiracetam?
Prospecto-Sinlip-EZ-Unificado-Oct-2022#8250,¿Qué efectos tiene el embarazo en el tratamiento con ezetimiba?
Rostrum_XR__Instruccion-Rostrum-XR-editable#8350,"¿Qué efectos adversos sobre el hígado se observaron en ratones, ratas y monos tratados con quetiapina?"
Saglox_Met__SAGLOX-MET-WEB_compressed#8400,¿Qué condiciones de almacenamiento tienen los medicamentos como el Act?
Sotil_Met__D5146-E-4834-01-Inst.-Sotil-Met-200x600-mm#8500,¿Qué pacientes están contraindicados para tomar SOTIL MET?
Sotil_Met__D5146-E-4834-01-Inst.-Sotil-Met-200x600-mm#8550,¿Cuál es el porcentaje aproximado de la dosis de sitagliptina que se elimina durante una sesión de hemodiálisis de 3 a 4 horas?
Sotil_Met_xr__D5160-E-4858-01-Inst.-Sotil-Met-XR-200x600-1#8600,¿La levotiroxina puede reducir el efecto reductor de la glucosa de la metformina?
